Date,Close,Volume,Open,High,Low,avg,7ma,Average Score,7 MA
12/05/2017,48.07,50183880,48.01,48.24,47.92,0.994,0.984,0.994,0.984
28/08/2017,47.3,51529120,47.33,47.65,47.11,1,0.985,1,0.985
05/10/2017,49.04,64401600,48.5,49.08,48.48,0.997,0.987,0.997,0.987
27/11/2017,59.79,134367700,60.13,60.67,59.56,0.996,0.987,0.996,0.987
28/11/2017,59.68,90961280,60.24,60.27,59.43,0.999,0.987,0.999,0.987
01/02/2018,69.5,228450400,70.13,72.95,66.04,0.996,0.997,0.996,0.997
14/03/2018,79.55,66024800,80.05,80.46,79.3,0.983,0.995,0.983,0.995
16/03/2018,78.58,105836960,79.17,79.47,78.38,0.991,0.995,0.991,0.995
04/04/2018,70.53,138849700,67.91,70.77,67.64,0.999,0.994,0.999,0.994
16/04/2018,72.08,55476720,72.25,72.35,71.37,0.997,0.994,0.997,0.994
12/07/2018,89.83,90225480,88.23,89.9,88.11,0.973,0.991,0.973,0.991
30/07/2018,88.96,130854240,91.37,91.48,88.3,0.998,0.991,0.998,0.991
31/07/2018,88.87,114328980,89.32,90.09,86.97,0.997,0.991,0.997,0.991
15/08/2018,94.13,153162160,95.48,95.81,93.49,0.994,0.993,0.994,0.993
27/08/2018,96.38,70929920,95.75,100.99,95.61,0.999,0.994,0.999,0.994
30/10/2018,76.52,247902600,74.31,77.05,73.82,0.996,0.993,0.996,0.993
13/11/2018,81.56,118029980,82.46,83.85,80.69,0.98,0.991,0.98,0.991
07/12/2018,81.46,150178780,85.25,85.95,81.27,0.997,0.994,0.997,0.994
05/02/2019,82.94,88872640,82.17,83.26,82.13,0.982,0.992,0.982,0.992
27/02/2019,82.05,62822920,81.41,82.09,80.76,0.997,0.992,0.997,0.992
11/03/2019,83.53,75945960,81.31,83.61,81.3,0.994,0.992,0.994,0.992
12/03/2019,83.66,71259860,83.45,84.21,83.05,1,0.992,1,0.992
15/04/2019,92.24,74213060,92.1,92.66,91.61,0.995,0.992,0.995,0.992
16/07/2019,100.5,52363960,100.53,101.32,100.06,0.99,0.994,0.99,0.994
06/08/2019,89.39,101405160,89.61,89.69,87.67,0.95,0.987,0.95,0.987
28/08/2019,88.21,48437860,87.75,89.32,84.03,0.998,0.989,0.998,0.989
20/12/2019,89.33,103049200,89.98,90.15,89.12,0.998,0.989,0.998,0.989
27/03/2020,95.01,107757940,96.54,96.99,95,0.99,0.989,0.99,0.989
30/03/2020,98.2,122521740,96.14,98.68,95.62,0.992,0.988,0.992,0.988
09/04/2020,102.14,93112340,102.22,102.65,100.88,0.972,0.984,0.972,0.984
16/04/2020,120.41,240764000,117.3,123.05,116.75,0.998,0.985,0.998,0.985
20/04/2020,119.68,115413880,119.5,122.25,119.3,0.998,0.992,0.998,0.992
22/04/2020,118.17,84365900,118.45,119.7,117.55,0.983,0.99,0.983,0.99
23/04/2020,119.97,101331040,120,121.21,119.1,0.504,0.92,0.504,0.92
24/04/2020,120.51,76635940,120.85,121.02,119.1,0.998,0.921,0.998,0.921
27/04/2020,118.8,112912900,122.16,124.71,121.8,0.866,0.615,0.866,0.615
28/04/2020,115.7,105388920,118.61,118.68,115.3,0.943,0.607,0.943,0.607
04/05/2020,115.8,97318520,112.82,116.35,112.82,0.131,0.486,0.131,0.486
06/05/2020,117.56,62356280,116.47,117.87,116,0.994,0.556,0.994,0.556
07/05/2020,118.38,67928220,118.74,118.8,117.16,1,0.556,1,0.556
12/05/2020,117.85,61498320,120.59,120.95,117.75,0.997,0.562,0.997,0.562
15/05/2020,120.49,84699020,118.43,120.55,117.82,0.984,0.845,0.984,0.845
20/05/2020,124.9,79962860,123.89,125,123.36,0.706,0.8,0.706,0.8
03/06/2020,123.92,53420480,123.4,124.4,121.05,0.995,0.923,0.995,0.923
04/06/2020,123.03,58974200,123.87,125.38,122.5,0.999,0.924,0.999,0.924
05/06/2020,124.15,66128900,122.23,124.43,121.86,0.189,0.808,0.189,0.808
10/06/2020,132.37,98920620,132.25,136.12,131.31,0.926,0.798,0.926,0.798
11/06/2020,127.9,116002140,130.18,133.57,126.81,0.771,0.796,0.771,0.796
15/06/2020,128.63,77466700,126.33,129.2,125.4,0.981,0.835,0.981,0.835
16/06/2020,130.76,71912980,131,132.63,127.79,0.948,0.829,0.948,0.829
17/06/2020,132.05,59186320,132.38,132.75,131.59,0.996,0.828,0.996,0.828
19/06/2020,133.75,115539260,133.9,134.87,132.95,0.995,0.943,0.995,0.943
23/06/2020,138.22,84634140,136.3,139.16,135.9,0.898,0.931,0.898,0.931
24/06/2020,136.72,90532100,139,144.95,135.35,0.995,0.941,0.995,0.941
25/06/2020,137.73,59373140,136.98,137.81,135.61,0.836,0.95,0.836,0.95
29/06/2020,134.02,84468440,134.5,134.84,131.5,0.956,0.946,0.956,0.946
02/07/2020,144.52,131867740,145.6,147.78,143.56,0.992,0.953,0.992,0.953
06/07/2020,152.85,137612840,146.75,152.99,146.5,0.996,0.948,0.996,0.948
07/07/2020,150.01,105150280,152.93,153.48,149.5,0.925,0.952,0.925,0.952
08/07/2020,154.06,100752700,151.13,154.2,150.62,0.867,0.933,0.867,0.933
10/07/2020,160,109719640,159.59,160.75,156.79,0.989,0.955,0.989,0.955
14/07/2020,154.2,144638660,154.45,156.37,147.5,0.994,0.961,0.994,0.961
15/07/2020,150.44,115777480,154.01,154.92,148.66,0.974,0.958,0.974,0.958
16/07/2020,150,127884920,148.55,151.6,145.91,0.996,0.963,0.996,0.963
23/07/2020,149.33,113138120,154.91,154.91,148.5,-0.805,0.706,-0.805,0.706
28/07/2020,150.02,62533020,152.71,153.85,149.79,0.844,0.694,0.844,0.694
29/07/2020,151.68,59481200,151.55,151.96,149.84,0.992,0.712,0.992,0.712
30/07/2020,152.59,122565300,150.7,154.6,150.25,0.999,0.713,0.999,0.713
04/08/2020,156.94,93885880,155.06,158.36,155.06,0.98,0.711,0.98,0.711
06/08/2020,161.25,78812040,159.72,162.37,158.27,0.984,0.713,0.984,0.713
11/08/2020,154.03,74361140,155.66,157.96,153.65,0.998,0.713,0.998,0.713
13/08/2020,158.05,62980860,159.15,160.88,157.75,0.889,0.955,0.889,0.955
18/08/2020,165.62,106919480,160.6,161.05,159.94,0.849,0.956,0.849,0.956
19/08/2020,163.02,83702740,165.15,165.8,162.8,0.96,0.951,0.96,0.951
21/08/2020,164.24,71517240,164.75,165.72,163.77,0.982,0.949,0.982,0.949
24/08/2020,165.37,93325160,165.51,169.02,162.88,0.982,0.949,0.982,0.949
25/08/2020,167.32,79856840,164.75,167.87,163.35,0.992,0.95,0.992,0.95
27/08/2020,170,66316740,170.04,171.6,169.78,1,0.951,1,0.951
28/08/2020,170.09,57939560,171.15,171.67,169.33,0.8,0.938,0.8,0.938
31/08/2020,172.55,83717700,170.45,174.75,170.25,0.991,0.958,0.991,0.958
01/09/2020,174.96,69528140,174.48,175.69,173.35,1,0.964,1,0.964
02/09/2020,176.57,78629520,177.35,177.61,174.33,0.844,0.944,0.844,0.944
03/09/2020,168.4,163222260,174.25,177.04,172.35,0.699,0.904,0.699,0.904
04/09/2020,164.73,175635080,165.9,169.08,155.56,0,0.762,0,0.762
08/09/2020,157.49,121884100,157.2,162.54,156.5,0.871,0.744,0.871,0.744
09/09/2020,163.43,103773500,160.15,165.16,159.25,0.948,0.765,0.948,0.765
11/09/2020,155.81,101879640,160.43,160.87,154.2,0.995,0.765,0.995,0.765
16/09/2020,153.91,90623780,159,159.36,153.71,0.975,0.762,0.975,0.762
17/09/2020,150.44,128981000,150.46,151.47,148.63,0.979,0.781,0.979,0.781
18/09/2020,147.75,177851600,151.59,151.89,145.28,0.943,0.816,0.943,0.816
22/09/2020,156.45,138976320,151.69,156.7,150.01,0.422,0.876,0.422,0.876
23/09/2020,149.99,113053300,156.02,156.35,149.62,0.992,0.893,0.992,0.893
24/09/2020,150.99,110587840,148.89,153.47,148.25,0.892,0.885,0.892,0.885
28/09/2020,158.7,84483300,157.44,158.75,155.86,0.863,0.867,0.863,0.867
29/09/2020,157.24,70067960,158.77,159.41,156.63,0.956,0.864,0.956,0.864
30/09/2020,157.44,97922020,157.06,160.64,156.7,0.656,0.818,0.656,0.818
01/10/2020,161.06,99438440,160.4,161.2,150.61,0.36,0.734,0.36,0.734
08/10/2020,159.53,63482280,161.25,161.66,158.75,1,0.817,1,0.817
09/10/2020,164.33,98157420,160.5,164.45,159.89,1,0.818,1,0.818
12/10/2020,172.15,167283960,167.5,174.81,166.98,0.983,0.831,0.983,0.831
14/10/2020,168.19,116578320,172.35,173.24,167,0.999,0.851,0.999,0.851
16/10/2020,163.64,129487060,168.16,169.98,158,0.995,0.856,0.995,0.856
20/10/2020,160.85,90193560,161.11,163.3,159.6,0.959,0.899,0.959,0.899
23/10/2020,160.22,69333740,159.55,160.27,157,0.951,0.984,0.951,0.984
27/10/2020,164.32,85820940,161.25,164.58,160.57,0.971,0.98,0.971,0.98
28/10/2020,158.14,111766600,162.47,163.2,158.12,0.997,0.979,0.997,0.979
30/10/2020,151.81,167921620,157.89,158.35,150.95,0.981,0.979,0.981,0.979
02/11/2020,150.22,145147000,153.09,153.99,147.51,0.888,0.963,0.888,0.963
05/11/2020,166.1,97458660,165.5,167.53,164.06,1,0.964,1,0.964
06/11/2020,165.57,92946600,165.23,166.1,161.6,0.967,0.965,0.967,0.965
09/11/2020,157.19,143808120,161.55,164.45,155.61,0.995,0.974,0.995,0.974
10/11/2020,151.75,131819120,154.75,155.7,150.97,0.872,0.957,0.872,0.957
11/11/2020,156.87,87338460,153.09,156.96,152.5,0.978,0.956,0.978,0.956
12/11/2020,155.51,87424160,158,158.79,154.3,1,0.972,1,0.972
13/11/2020,156.44,75251740,156.1,157.09,154.27,0.987,0.97,0.987,0.97
16/11/2020,156.55,76173520,154.66,157.14,153.63,0.99,0.974,0.99,0.974
17/11/2020,156.78,68894700,159.18,159.46,156.76,0.998,0.974,0.998,0.974
19/11/2020,155.85,60205400,155.27,156.25,154.05,0.99,0.974,0.99,0.974
23/11/2020,154.92,94177740,155.84,156.99,153.27,0.995,0.993,0.995,0.993
24/11/2020,155.9,72042040,155.03,156.71,154.31,0.977,0.99,0.977,0.99
25/11/2020,159.25,75808060,157.09,159.9,157.01,0.9,0.978,0.9,0.978
01/12/2020,161,90887640,159.43,162.45,157.86,0.994,0.978,0.994,0.978
03/12/2020,159.34,57840780,160.27,161.43,159.07,0.389,0.891,0.389,0.891
04/12/2020,158.13,58272220,159.91,159.91,157.94,0.69,0.848,0.69,0.848
07/12/2020,157.9,55026320,157.82,159.04,157.08,0.714,0.715,0.714,0.715
08/12/2020,158.86,65726060,157.95,159.21,156,0.997,0.729,0.997,0.729
09/12/2020,155.21,82016720,158.39,158.72,154.4,0.586,0.671,0.586,0.671
10/12/2020,155.07,60603720,154.45,157.11,153.8,0.866,0.739,0.866,0.739
11/12/2020,155.82,61293900,154.83,155.93,153.64,0.813,0.757,0.813,0.757
14/12/2020,157.85,83115880,157.15,159.52,156.3,0.978,0.828,0.978,0.828
15/12/2020,158.26,66473720,159.05,159.43,156.52,0.997,0.85,0.997,0.85
16/12/2020,162.05,88552320,158.8,162.35,158.18,0.281,0.788,0.281,0.788
17/12/2020,161.8,69486940,162.5,162.83,159.85,0.92,0.777,0.92,0.777
18/12/2020,160.08,119914260,162.2,162.47,158.58,0.984,0.834,0.984,0.834
21/12/2020,160.31,76736920,160,161.35,158.3,0.93,0.852,0.93,0.852
22/12/2020,160.33,47635620,160.14,161.1,159,0.999,0.855,0.999,0.855
23/12/2020,159.26,41875740,160.25,160.51,159.21,0.783,0.824,0.783,0.824
24/12/2020,158.63,29038340,159.7,160.1,158.45,0.462,0.85,0.462,0.85
28/12/2020,164.2,113735740,159.7,165.2,158.63,0.748,0.828,0.748,0.828
29/12/2020,166.1,97458660,165.5,167.53,164.06,0.33,0.75,0.33,0.75
31/12/2020,162.85,59144120,163.75,164.63,161.91,-0.339,0.569,-0.339,0.569
04/01/2021,159.33,88228980,163.5,165.72,162.36,0.966,0.434,0.966,0.434
05/01/2021,160.93,53110960,158.3,161.17,158.25,0.963,0.506,0.963,0.506
06/01/2021,156.92,87896300,157.32,159.88,156.56,0.508,0.435,0.508,0.435
07/01/2021,158.11,70290900,157.85,160.43,157.75,0.374,0.382,0.374,0.382
08/01/2021,159.14,70754880,159,159.53,157.11,0.914,0.465,0.914,0.465
11/01/2021,155.71,73381900,157.4,157.82,155.5,0.995,0.541,0.995,0.541
12/01/2021,156.04,70291640,156,157.11,154.3,0.282,0.444,0.282,0.444
13/01/2021,158.29,66424880,156.42,159.5,156.1,-0.811,0.255,-0.811,0.255
14/01/2021,156.37,61418380,158.38,158.9,156.03,0.996,0.344,0.996,0.344
15/01/2021,155.21,84879900,156.15,157.13,154.76,0.992,0.355,0.992,0.355
19/01/2021,156.04,66102840,155.35,157.25,154.8,0.808,0.538,0.808,0.538
20/01/2021,163.17,106196700,159.1,163.99,158.75,0.997,0.64,0.997,0.64
21/01/2021,165.35,98901020,164.65,167.43,164.48,0.214,0.787,0.214,0.787
22/01/2021,164.61,56438280,165.22,166.1,164.16,0.757,0.752,0.757,0.752
25/01/2021,164.7,74995160,166.43,168.19,162.16,0.254,0.582,0.254,0.582
26/01/2021,166.31,59104700,164.82,166.9,163.7,0.787,0.623,0.787,0.623
27/01/2021,161.63,93203160,167.07,167.33,160.35,0.948,0.643,0.948,0.643
28/01/2021,161.88,62984560,161.75,165.08,161.43,0.994,0.643,0.994,0.643
29/01/2021,160.31,85871120,161.5,166.35,160.7,0.784,0.724,0.784,0.724
01/02/2021,167.14,83204240,162.12,167.51,161.75,0.997,0.766,0.997,0.766
02/02/2021,169,141972740,169,170.34,167.78,0.916,0.784,0.916,0.784
03/02/2021,165.63,141775620,171.25,171.7,165.43,0.748,0.756,0.748,0.756
04/02/2021,166.55,73413220,166.5,167.35,163.89,0.782,0.726,0.782,0.726
05/02/2021,167.61,72416160,165.95,168.85,165.14,0.779,0.725,0.779,0.725
08/02/2021,166.15,65147820,167.93,168.25,165.2,0.864,0.753,0.864,0.753
09/02/2021,165.25,44070520,165.62,166.9,163.7,0.997,0.753,0.997,0.753
10/02/2021,164.33,63031000,165.7,165.9,162.7,0.972,0.761,0.972,0.761
11/02/2021,163.11,46028340,164.6,164.6,162.4,0.951,0.79,0.951,0.79
12/02/2021,163.89,46706780,162.5,162.83,159.85,0.509,0.751,0.509,0.751
16/02/2021,163.45,51494420,162.7,165.42,162.68,0.666,0.785,0.666,0.785
17/02/2021,165.43,66041980,163.18,166.05,162.98,0.698,0.746,0.698,0.746
18/02/2021,166.41,60672140,164.12,166.9,163.7,0.712,0.712,0.712,0.712
19/02/2021,162.5,86103680,166.41,166.68,162.29,0.597,0.724,0.597,0.724
22/02/2021,159.04,70313580,160.41,161.62,158.61,0.79,0.65,0.79,0.65
23/02/2021,159.73,93544440,156.35,160.24,154.68,0.66,0.65,0.66,0.65
24/02/2021,157.98,60225500,158.34,158.56,156.27,0.848,0.671,0.848,0.671
25/02/2021,152.86,90676020,156.84,158.91,152.39,0.588,0.653,0.588,0.653
26/02/2021,154.65,85518600,154.76,156.12,151.84,0.442,0.631,0.442,0.631
01/03/2021,157.31,54679260,156.39,157.48,154.9,0.903,0.739,0.903,0.739
02/03/2021,154.73,51915240,157.17,158.18,154.36,0.967,0.783,0.967,0.783
03/03/2021,150.25,79774500,154.06,155.39,149.75,0.65,0.755,0.65,0.755
04/03/2021,148.88,109631560,150.6,152.91,147.27,0.745,0.777,0.745,0.777
05/03/2021,150.02,107771020,150.25,150.45,144.05,0.682,0.812,0.682,0.812
08/03/2021,147.6,83700160,150.75,153.23,147.57,0.748,0.756,0.748,0.756
09/03/2021,153.14,80600640,150.9,154.55,150.26,0.531,0.693,0.531,0.693
10/03/2021,152.88,60249780,154.92,155.82,151.5,0.585,0.684,0.585,0.684
11/03/2021,155.68,55527820,155.2,156.59,154.15,0.828,0.696,0.828,0.696
12/03/2021,154.47,48437760,153.75,154.95,152.28,0.857,0.721,0.857,0.721
15/03/2021,154.08,58371840,153.73,154.11,151.6,0.883,0.695,0.883,0.695
16/03/2021,154.59,50775280,155.25,156.45,153.79,0.572,0.701,0.572,0.701
17/03/2021,156.79,62371680,153.66,158.65,153.51,0.815,0.734,0.815,0.734
18/03/2021,151.4,73140540,155.05,155.83,151.25,0.658,0.709,0.658,0.709
19/03/2021,153.75,92507080,151.46,153.86,150.83,0.696,0.686,0.696,0.686
22/03/2021,155.54,58043580,153.39,156.33,153,0.64,0.628,0.64,0.628
23/03/2021,156.88,76345260,156.35,159.1,156.04,0.693,0.645,0.693,0.645
24/03/2021,154.35,59179620,157.55,158.02,154.26,0.576,0.611,0.576,0.611
25/03/2021,152.31,71269380,153.65,155.49,151.86,0.563,0.597,0.563,0.597
26/03/2021,152.6,63604100,155.5,155.5,150.89,0.66,0.592,0.66,0.592
29/03/2021,153.79,54919360,152.77,154.56,151.42,0.748,0.613,0.748,0.613
30/03/2021,152.76,46752060,153.5,153.65,151.7,0.478,0.582,0.478,0.582
31/03/2021,154.7,61877920,153.2,155.97,153.13,0.626,0.589,0.626,0.589
01/04/2021,158.05,58806360,155.9,158.12,155.78,0.782,0.621,0.782,0.621
05/04/2021,161.34,66697640,158.65,161.8,158.06,0.223,0.424,0.223,0.424
06/04/2021,161.19,50756180,161.19,162.37,160.85,0.599,0.442,0.599,0.442
07/04/2021,163.97,66924540,161.69,165.18,161.18,0.7,0.452,0.7,0.452
08/04/2021,164.97,56241800,165.55,166.23,164.6,0.612,0.428,0.612,0.428
09/04/2021,168.61,86829460,165.24,168.61,164.45,0.556,0.428,0.556,0.428
12/04/2021,168.97,65635960,167.76,169.75,167.56,0.628,0.603,0.628,0.603
13/04/2021,170,66316740,170.04,171.6,169.78,0.775,0.628,0.775,0.628
14/04/2021,166.65,62904080,170.2,170.21,166.3,0.536,0.605,0.536,0.605
15/04/2021,168.95,64671600,168.55,169.85,167.6,0.799,0.631,0.799,0.631
16/04/2021,169.97,63720980,169,170.34,167.78,0.574,0.634,0.574,0.634
19/04/2021,168.6,54508100,169.52,171.8,168.01,0.72,0.669,0.72,0.669
20/04/2021,166.73,52460640,168.68,169.15,165.8,0.534,0.634,0.534,0.634
21/04/2021,168.1,44223320,165.8,166.39,163.7,0.59,0.642,0.59,0.642
22/04/2021,165.45,51611800,168.58,168.64,165.07,0.728,0.632,0.728,0.632
23/04/2021,167.04,63933040,165.96,168.75,166.45,0.659,0.644,0.659,0.644
26/04/2021,170.45,97614160,167.4,171.42,166.55,0.686,0.578,0.686,0.578
27/04/2021,170.87,76542800,172.17,173,169.9,0.668,0.597,0.668,0.597
28/04/2021,172.93,92637680,171.74,174.49,171.25,0.58,0.596,0.58,0.596
29/04/2021,173.57,153647620,175.25,175.72,171.75,0.705,0.593,0.705,0.593
30/04/2021,173.37,140186920,176.26,177.7,173.13,0.559,0.578,0.559,0.578
03/05/2021,169.32,117510600,174.24,174.33,168.64,0.66,0.566,0.66,0.566
04/05/2021,165.59,108788980,167.81,168.4,163.61,0.688,0.569,0.688,0.569
05/05/2021,163.53,74226160,166.94,167.73,163.22,0.667,0.581,0.667,0.581
06/05/2021,165.32,88953920,163.5,165.72,162.36,0.518,0.555,0.518,0.555
07/05/2021,164.58,94205520,165.95,166.54,164.45,0.611,0.562,0.611,0.562
10/05/2021,159.52,116772060,164.12,164.15,159.5,0.653,0.626,0.653,0.626
11/05/2021,161.2,92395620,156.81,161.9,156.37,0.577,0.61,0.577,0.61
12/05/2021,157.6,98728200,159.25,160.4,156.66,0.422,0.575,0.422,0.575
13/05/2021,158.07,67137540,159.27,160.19,156.65,0.671,0.597,0.671,0.597
14/05/2021,161.15,66500440,159.28,161.44,159.15,0.669,0.606,0.669,0.606
17/05/2021,163.52,73711980,162.3,164.64,161.73,0.529,0.461,0.529,0.461
18/05/2021,161.61,56567820,164.63,165.6,161.52,0.578,0.461,0.578,0.461
19/05/2021,161.59,53594160,159.75,161.74,159.2,0.421,0.461,0.421,0.461
20/05/2021,162.38,52663840,162.22,162.98,161.81,0.604,0.452,0.604,0.452
21/05/2021,160.15,82097640,162.5,162.83,159.85,0.745,0.462,0.745,0.462
24/05/2021,162.25,48456260,160.78,162.9,160.53,0.552,0.53,0.552,0.53
25/05/2021,162.95,65222180,163.33,163.99,160.69,0.584,0.531,0.584,0.531
26/05/2021,163.26,47679720,163.73,164.79,162.93,0.628,0.561,0.628,0.561
27/05/2021,161.51,51223140,162.8,163.02,161.5,0.747,0.581,0.747,0.581
28/05/2021,161.15,46630180,162.1,162.4,160.99,0.664,0.569,0.664,0.569
01/06/2021,160.93,48600900,162.17,162.55,160.45,0.703,0.68,0.703,0.68
02/06/2021,161.7,40290480,161.16,161.75,160.4,0.56,0.67,0.56,0.67
03/06/2021,159.35,47965860,160.21,160.72,159.2,0.829,0.682,0.829,0.682
04/06/2021,160.31,44994980,160.6,161.05,159.94,0.588,0.671,0.588,0.671
07/06/2021,159.9,44315120,159.87,160.4,158.61,0.555,0.655,0.555,0.655
08/06/2021,163.21,68334600,161.13,163.98,160.9,0.629,0.645,0.629,0.645
09/06/2021,164.06,49110600,163.64,164.88,163.54,0.548,0.643,0.548,0.643
10/06/2021,167.48,69529600,164.1,167.55,164.06,0.51,0.597,0.51,0.597
11/06/2021,167.34,56347040,167.48,168.33,166.67,0.607,0.6,0.607,0.6
14/06/2021,169.19,51393100,167.34,169.25,166.78,0.704,0.53,0.704,0.53
15/06/2021,169.16,48524000,169.2,169.85,168.16,0.532,0.516,0.532,0.516
16/06/2021,170.76,84055640,169.6,171.32,168.03,0.592,0.522,0.592,0.522
17/06/2021,174.46,102730620,170.16,174.86,170.05,0.549,0.528,0.549,0.528
18/06/2021,174.35,104954740,174,175.35,173.69,0.718,0.544,0.718,0.544
21/06/2021,172.7,65542600,173.82,174.1,171.7,0.54,0.606,0.54,0.606
22/06/2021,175.27,66901640,172.9,176.19,172.8,0.668,0.625,0.668,0.625
23/06/2021,175.19,56266820,175.25,176.05,174.16,0.556,0.62,0.556,0.62
24/06/2021,172.45,76639980,175.38,176.24,171.54,0.692,0.64,0.692,0.64
25/06/2021,170.07,78819940,173.2,173.24,169.71,0.642,0.629,0.642,0.629
28/06/2021,172.19,44855860,170.8,172.4,170.68,0.739,0.625,0.739,0.625
29/06/2021,172.41,41968780,171.94,172.8,171.15,0.752,0.637,0.752,0.637
30/06/2021,172.01,48079840,172.05,173.58,171.75,0.459,0.623,0.459,0.623
01/07/2021,171.65,40741060,171.73,172.85,170.47,0.589,0.608,0.589,0.608
02/07/2021,175.55,63533940,172.58,175.59,171.85,0.562,0.597,0.562,0.597
06/07/2021,183.79,134895360,176.51,184.27,176.45,0.477,0.487,0.477,0.487
07/07/2021,184.83,106561240,185.87,186.71,183.95,0.449,0.485,0.449,0.485
08/07/2021,186.57,103612460,182.18,188,181.06,0.663,0.496,0.663,0.496
09/07/2021,185.97,74964740,186.13,187.4,184.67,0.656,0.509,0.656,0.509
12/07/2021,185.93,51432700,187.2,187.86,184.84,0.645,0.53,0.645,0.53
13/07/2021,183.87,76918340,185.11,188.65,183.57,0.527,0.537,0.527,0.537
14/07/2021,184.08,65931360,185.44,185.88,183.04,0.532,0.549,0.532,0.549
15/07/2021,181.56,63705840,184.71,184.77,181.05,0.71,0.556,0.71,0.556
16/07/2021,178.68,80874120,181.67,182.3,178.52,0.602,0.548,0.602,0.548
19/07/2021,177.48,75691900,176.63,177.51,174.96,0.515,0.535,0.515,0.535
20/07/2021,178.66,65113600,178.37,179.6,175.9,0.653,0.553,0.653,0.553
21/07/2021,179.26,46379780,178.82,179.32,177.18,0.614,0.564,0.614,0.564
22/07/2021,181.9,65307040,179.36,182,179.11,0.706,0.564,0.706,0.564
23/07/2021,182.83,48725840,182,183.31,181.1,0.733,0.583,0.733,0.583
26/07/2021,184.99,58001360,183.66,185.6,182.36,0.534,0.614,0.534,0.614
27/07/2021,181.32,82637800,184.93,184.93,179.31,0.606,0.607,0.606,0.607
28/07/2021,181.52,59987560,181.69,182.92,180.05,0.719,0.622,0.719,0.622
29/07/2021,180,110399040,181.39,181.9,179,0.521,0.596,0.521,0.596
30/07/2021,166.38,199311860,167.4,168.41,165.35,0.448,0.555,0.448,0.555
02/08/2021,166.57,67078300,167.66,167.95,165.85,0.762,0.534,0.762,0.534
03/08/2021,168.31,83146860,167.04,169.55,164.99,0.72,0.55,0.72,0.55
04/08/2021,167.74,43678900,168.97,169.44,167.28,0.662,0.542,0.662,0.542
05/08/2021,168.8,48670060,167.81,169.45,167.05,0.643,0.559,0.643,0.559
06/08/2021,167.25,52752880,168.75,168.99,166.62,0.555,0.575,0.555,0.575
09/08/2021,167.09,42964400,167.18,167.74,166.43,0.734,0.566,0.734,0.566
10/08/2021,166.03,48251020,167.25,167.9,165.75,0.524,0.538,0.524,0.538
11/08/2021,164.61,58944980,166.57,166.89,163.89,0.566,0.524,0.566,0.524
12/08/2021,165.18,46476460,164.5,165.73,163.48,0.664,0.527,0.664,0.527
13/08/2021,164.7,41133980,165.28,165.3,164.15,0.751,0.555,0.751,0.555
16/08/2021,164.95,66569880,164.15,165,160.56,0.613,0.609,0.613,0.609
17/08/2021,162.1,67758440,163.88,164.02,161.28,0.345,0.584,0.345,0.584
18/08/2021,160.06,56086220,162.1,162.7,160,0.752,0.61,0.752,0.61
19/08/2021,159.39,75657240,159.7,161.65,159.12,0.599,0.601,0.599,0.601
20/08/2021,160,67168560,160.19,160.39,158.79,0.464,0.56,0.464,0.56
23/08/2021,163.29,65362620,160.6,164.05,160.5,0.735,0.527,0.735,0.527
24/08/2021,165.29,51036820,164,165.37,162.25,0.566,0.558,0.566,0.558
